source,firm_id,ticker,company_name,sector,industry_key,year,currency,sales,cogs,net_income,total_assets,total_debt,operating_cash_flow,capex
yfinance,AAPL,AAPL,Apple Inc.,Technology,Consumer Electronics,2022,USD,394328000000.0,223546000000.0,99803000000.0,352755000000.0,132480000000.0,122151000000.0,-10708000000.0
yfinance,AAPL,AAPL,Apple Inc.,Technology,Consumer Electronics,2023,USD,383285000000.0,214137000000.0,96995000000.0,352583000000.0,111088000000.0,110543000000.0,-10959000000.0
yfinance,AAPL,AAPL,Apple Inc.,Technology,Consumer Electronics,2024,USD,391035000000.0,210352000000.0,93736000000.0,364980000000.0,106629000000.0,118254000000.0,-9447000000.0
yfinance,AMZN,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2022,USD,513983000000.0,288831000000.0,-2722000000.0,462675000000.0,140118000000.0,46752000000.0,-63645000000.0
yfinance,AMZN,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2023,USD,574785000000.0,304739000000.0,30425000000.0,527854000000.0,135611000000.0,84946000000.0,-52729000000.0
yfinance,AMZN,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2024,USD,637959000000.0,326288000000.0,59248000000.0,624894000000.0,130900000000.0,115877000000.0,-82999000000.0
yfinance,GOOGL,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2022,USD,282836000000.0,126203000000.0,59972000000.0,365264000000.0,29679000000.0,91495000000.0,-31485000000.0
yfinance,GOOGL,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2023,USD,307394000000.0,133332000000.0,73795000000.0,402392000000.0,27121000000.0,101746000000.0,-32251000000.0
yfinance,GOOGL,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2024,USD,350018000000.0,146306000000.0,100118000000.0,450256000000.0,22574000000.0,125299000000.0,-52535000000.0
yfinance,META,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,2022,USD,116609000000.0,25249000000.0,23200000000.0,185727000000.0,26591000000.0,50475000000.0,-31186000000.0
yfinance,META,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,2023,USD,134902000000.0,25959000000.0,39098000000.0,229623000000.0,37234000000.0,71113000000.0,-27045000000.0
yfinance,META,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,2024,USD,164501000000.0,30161000000.0,62360000000.0,276054000000.0,49060000000.0,91328000000.0,-37256000000.0
yfinance,MSFT,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2022,USD,198270000000.0,62650000000.0,72738000000.0,364840000000.0,61270000000.0,89035000000.0,-23886000000.0
yfinance,MSFT,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2023,USD,211915000000.0,65863000000.0,72361000000.0,411976000000.0,59965000000.0,87582000000.0,-28107000000.0
yfinance,MSFT,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2024,USD,245122000000.0,74114000000.0,88136000000.0,512163000000.0,67127000000.0,118548000000.0,-44477000000.0
