bqs_decile,n_obs,mean_SROA,mean_BQS
D1,225,0.04835562408612547,-0.7163906474875652
D2,224,0.06050645009079134,-0.4455133010675194
D3,224,0.060891076950896794,-0.33635218822692653
D4,224,0.06937092473097838,-0.21929225366759364
D5,224,0.07437021842988294,-0.11177245971033005
D6,224,0.07766161377822621,-0.004605044098402985
D7,224,0.08655804381351258,0.11883849546337817
D8,224,0.1016432295530966,0.2540388965129948
D9,224,0.1019852199846429,0.44551934836366563
D10,224,0.11152955616011816,1.0126629787687316
