Ticker,Name,GICS Sub Industry,ICB Subsector Name,ICB Sector Name,ICB Supersct Nm,ICB Industry Name,Co Des,Ind Group,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Net Income,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Total Asset,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,COGS,CFO,CFO,CFO,CFO,CFO,CFO,CFO,CFO,CFO,Capex,Capex,Capex,Capex,Capex,Capex,Capex,Capex,Capex,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Total Debt,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Gross Margin,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Total Equity,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Market Cap,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Operating Income,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Interest Expense,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Cash and Cash Equivalent,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Assets,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability,Current Liability
,,,,,,,,,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,AGILENT TECH INC,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,"Agilent Technologies, Inc. provides core bio-analytical and electronic measurement solutions to the communications, electronics, life sciences, and chemical analysis industries. The Company offers electronic and bio-analytical measurement, semiconductor, and board testing.",Healthcare-Products,684000000,316000000,1071000000,719000000,1210000000,1254000000,1240000000,1288999936,1303000064,8426000000,8541000000,9452000000,9627000000,10705000000,10532000000,10763000000,11846000000,12727000000,4472000000,4914000000,5163000000,5339000000,6319000000,6848000000,6833000000,6510000000,6948000000,2063000064,2233999872,2358000128,2502000128,2912000000,3126000128,3368000000,2975000064,3304999936,889000000,1087000000,1021000000,921000000,1485000000,1312000000,1772000000,1751000000,1559000000,-176000000,-176000000,-155000000,-119000000,-188000000,-291000000,-298000000,-378000000,-407000000,2011000000,1799000000,2407000000,2537000000,2911000000,2921000000,2899000000,3574000000,3543000000,53.87%,54.54%,54.33%,53.14%,53.92%,54.35%,50.71%,54.30%,52.43%,9520892519157,12802508075000,12326915910728,11673252116858,18533110857308,14934208465900,22480240280077,21681776402099,18841822896552,15.08,6.72,23,14.95,23.58,23.45,22.24,21.95,20.62,65552930000000,69548450650000,66856350600000,72027813000000,76693553500000,82991420000000,93146504500000,92575008000000,112224168000000,296996936978432,313477991813120,329590442469376,461751651618816,676902127140864,638482459721728,481215870271488,583318288465920,689690629177344,11230113055556,904000000,1347000000,941000000,846000000,1618000000,1350000000,1488000000,1479000000,79000000,75000000,74000000,78000000,81000000,84000000,95000000,96000000,112000000,2678000000,2247000000,1382000000,1441000000,1484000000,1053000000,1590000000,1329000000,1789000000,4169000000,3848000000,3189000000,3415000000,3799000000,3778000000,4186000000,3959000000,4594000000,1263000000,1171000000,2080000000,1467000000,1708000000,1861000000,1603000000,1895000000,2347000000
AAPL,APPLE INC,"Technology Hardware, Storage & Peripherals",Computer Hardware,Technology Hardware and Equipment,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related accessories. The Company also offers payment, digital content, cloud and advertising services. Apple Inc.'s customers are primarily in consumer, small & mid-sized business, education, enterprise and government markets worldwide.",Computers,48350998528,59531001856,55255998464,57410998272,94679998464,99802996736,96995000320,93736001536,112010002432,375319000000,365725000000,338516000000,323888000000,351002000000,352755000000,352583000000,364980000000,359241000000,229234000000,265595000000,260174000000,274515000000,365817000000,394328000000,383285000000,391035000000,416161000000,141048004608,163755999232,161782005760,169558999040,212981006336,223545999360,214136995840,210351996928,220959997952,64225000000,77434000000,69391000000,80674000000,104038000000,122151000000,110543000000,118254000000,111482000000,-12451000000,-12451000000,-10495000000,-7309000000,-11085000000,-10708000000,-10959000000,-9447000000,-12715000000,115680000000,114483000000,108047000000,122278000000,136522000000,132480000000,123930000000,119059000000,112377000000,38.47%,38.34%,37.82%,38.23%,41.78%,43.31%,44.13%,46.21%,46.91%,688887455750943,892834531835715,843922596184616,1.06345MMMMM,1.33319MMMMM,1.61702MMMMM,1.51589MMMMM,1.72011MMMMM,1.60593MMMMM,36.87,49.36,55.92,73.69,147.44,175.46,171.95,157.41,171.42,1.80514MMMMM,1.59756MMMMM,1.2838MMMMM,978745550500000,901209105000000,765380291200000,962122620900000,859660250000000,1.23156MMMMM,10.6396MMMMM,16.00425MMMMM,13.79455MMMMM,28.55414MMMMM,34.47575MMMMM,36.22737MMMMM,41.21813MMMMM,51.97892MMMMM,63.03674MMMMM,816222661675472,70898000000,108949000000,63930000000,66288000000,119437000000,114301000000,123216000000,133050000000,2323000000,3240000000,3576000000,2873000000,2645000000,2931000000,3933000000,3933000000,3933000000,20289000000,25913000000,48844000000,38016000000,34940000000,23646000000,29965000000,29943000000,35934000000,128645000000,131339000000,162819000000,143713000000,134836000000,135405000000,143566000000,152987000000,147957000000,100814000000,115929000000,105718000000,105392000000,125481000000,153982000000,145308000000,176392000000,165631000000
ABBV,ABBVIE INC,Biotechnology,Pharmaceuticals,Pharmaceuticals and Biotechnology,Health Care,Health Care,"AbbVie Inc. is a research-based biopharmaceutical company. The Company discovers and develops medicines and therapies that solve health issues across immunology, oncology, aesthetics, neuroscience, and eye care. AbbVie serves patients worldwide.",Pharmaceuticals,5309000192,5687000064,7881999872,4616000000,11541999616,11836000256,4863000064,4278000128,4225999872,70786000000,59352000000,89115000000,150565000000,146529000000,138805000000,134711000000,135161000000,133960000000,28216000000,32753000000,33266000000,45804000000,56197000000,58054000000,54318000000,56334000000,61160000000,7040000000,7718000128,7439000064,15386999808,17446000640,17414000640,20415000576,16903999488,18204000256,9960000000,13427000000,13324000000,17588000000,22777000000,24943000000,22839000000,18806000000,19030000000,-529000000,-529000000,-552000000,-798000000,-787000000,-695000000,-777000000,-974000000,-1214000000,37368000000,40310000000,67088000000,87084000000,77600000000,64208000000,60286000000,68019000000,68379000000,75.05%,76.44%,77.64%,66.41%,68.96%,70.00%,62.42%,69.99%,70.24%,126186072675000,182150178052500,180629402196935,244762024599237,314654446609195,360117996904615,336143827606154,282793982074809,293587713793103,108.56,108.56,108.56,108.56,80.52,72.15,34.91,61.94,61.94,69258036000000,-121850864300000,-113153598000000,182375725000000,219785486000000,268072966400000,160026465200000,54712096000000,-53885004000000,2.09221MMMMM,1.96687MMMMM,1.81317MMMMM,2.63369MMMMM,3.40929MMMMM,4.43372MMMMM,4.2123MMMMM,5.10179MMMMM,6.743MMMMM,128340240600000,6383000000,17924000000,12983000000,11363000000,18117000000,12757000000,9137000000,15075000000,1150000000,1348000000,1784000000,2454000000,2423000000,2230000000,2224000000,2808000000,2893000000,9303000000,7289000000,39924000000,8449000000,9746000000,9201000000,12814000000,5524000000,5229000000,21223000000,16945000000,49519000000,24173000000,27928000000,28463000000,33002000000,25582000000,29062000000,16641000000,17239000000,15585000000,28661000000,35194000000,29538000000,37841000000,38749000000,43289000000
ABNB,AIRBNB INC-A,"Hotels, Resorts & Cruise Lines",Travel and Tourism,Travel and Leisure,Travel and Leisure,Consumer Discretionary,"Airbnb, Inc. operates an online marketplace for travel information and booking services. The Company offers lodging, home-stay, and tourism services via websites and mobile applications. Airbnb serves clients worldwide.",Internet,-70046000,-16860000,-674339008,-4584715776,-352000000,1892999936,4792000000,2648000000,2511000064,--,6613089000,8310119000,10491499000,13708000000,16038000000,20645000000,20959000000,22208000000,2561721000,3651985000,4805239000,3378199000,5992000000,8399000000,9917000000,11102000000,12241000000,647689984,864032000,1196312960,876041984,1156000000,1499000064,1703000064,1878000000,2086000000,251225000,595557000,222727000,-629732000,2313000000,3430000000,3884000000,4518000000,4646000000,-100204000,-100204000,-125452000,-37371000,-25000000,-25000000,-47000000,-34000000,0,--,0,419396000,2303053000,2418000000,2341000000,2304000000,2294000000,2271000000,74.72%,76.34%,75.10%,74.07%,80.71%,82.15%,82.83%,83.08%,82.96%,2020649653425,7191620600093,1375722290848,-9724924413116,32738943785441,50569192488462,58461783452308,71110824115267,76560873275862,--,--,--,--,-9.17,36.63,69.83,31.95,30.23,--,39157812547700,33561382090500,40407328275000,67988837500000,86220032000000,125672414000000,136812768000000,136865907000000,--,--,--,1.27802MMMMM,1.5635MMMMM,848543040000000,1.33691MMMMM,1.33151MMMMM,1.36388MMMMM,-1088617457850,18744000,429000000,-501543000,-3590147000,1802000000,1518000000,2553000000,2544000000,16403000,26143000,9968000,171688000,438000000,24000000,83000000,0,0,--,2140877000,2013547000,5480557000,6067000000,7378000000,6874000000,6864000000,6560000000,--,5874532000,6561443000,8916386000,12386000000,14861000000,16509000000,17180000000,18797000000,--,3736010000,5233764000,5139779000,6359000000,7978000000,9950000000,10161000000,13649000000
ABT,ABBOTT LABS,Health Care Equipment,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,"Abbott Laboratories discovers, develops, manufactures, and sells a broad and diversified line of health care products and services. The Company's products include pharmaceuticals, nutritional, diagnostics, and vascular products. Abbott markets its products worldwide through affiliates and distributors.",Healthcare-Products,477000000,2368000000,3687000064,4495000064,7071000064,6933000192,5722999808,13402000384,6524000256,76250000000,67173000000,67887000000,72548000000,75196000000,74438000000,73214000000,81414000000,86713000000,27390000000,30578000000,31904000000,34608000000,43075000000,43653000000,40109000000,41950000000,44328000000,12337000448,12705999872,13230999552,15002999808,18537000960,19142000640,17974999040,18705999872,19318999040,5570000000,6300000000,6136000000,7901000000,10533000000,9581000000,7261000000,8558000000,9566000000,-1135000000,-1135000000,-1638000000,-2177000000,-1885000000,-1777000000,-2202000000,-2207000000,-2171000000,27924000000,19566000000,19099000000,19890000000,19251000000,17946000000,15873000000,15275000000,14136000000,54.96%,58.45%,58.53%,56.65%,56.97%,56.15%,55.18%,55.41%,56.42%,59339967375000,69874796585000,63613455299234,83443587183206,123744049762452,115900727806154,77080574012308,100719189107061,121861312500000,1.85,7.71,11.97,14.08,20.62,19.13,15.2,31.07,13.07,422559624000000,443227830100000,433409296500000,459566775000000,512927724000000,572293216000000,597609653200000,779061864000000,880906303000000,1.35211MMMMM,1.832MMMMM,2.11985MMMMM,2.7005MMMMM,3.53522MMMMM,2.95862MMMMM,2.93787MMMMM,3.18567MMMMM,3.63204MMMMM,23093750550000,3650000000,8425000000,4532000000,5357000000,8362000000,6478000000,6825000000,8053000000,904000000,826000000,670000000,546000000,533000000,558000000,637000000,559000000,493000000,9407000000,3844000000,3860000000,6838000000,9799000000,9882000000,6896000000,7616000000,8522000000,20147000000,14632000000,15667000000,20441000000,24239000000,25224000000,22670000000,23656000000,25996000000,8912000000,9012000000,10863000000,11907000000,13105000000,15489000000,13841000000,14157000000,16496000000
ACGL,ARCH CAPITAL GRP,Property & Casualty Insurance,Full Line Insurance,Non-life Insurance,Insurance,Financials,"Arch Capital Group Ltd. provides financial services. The Company offers life, health, and property insurance and reinsurance products, as well as mortgage insurance. Arch Capital Group serves customers globally.",Insurance,619278016,757971008,1636318976,1405521024,2156848896,1476932992,4442999808,4312000000,4399000064,32051658000,32218329000,37885361000,43282297000,45100945000,47990507000,58906000000,70906000000,79241000000,5627375000,5450568000,6928200000,8525275000,9249980000,9614808000,13634000000,17440000000,19929000000,--,--,--,--,--,--,--,--,--,1094878000,1559322000,2048459000,2886505000,3427555000,3815227000,5749000000,6673000000,6172000000,-22841000,-22841000,-37837000,-39872000,-41394000,-51672000,-52000000,-51000000,-44000000,2549016000,2189210000,2506432000,3152815000,2851105000,2877300000,2882000000,2891000000,2885000000,--,--,--,--,--,--,--,--,--,14343774657225,21784429219143,28435440800502,41497775841036,48452506393117,55894254694835,86801350098462,105016921786641,100982572413793,6.67,7.85,15.57,11.3,16.36,11.58,29.75,22.78,20.1,139221764780000,150584916816950,170527290768000,194775115925000,193004704266500,200367011494400,282512818000000,338616480000000,404070758000000,161545929252864,155142091173888,240896375093248,204285512499200,239829850926080,360542734073856,426857386475520,565345425162240,574828143996928,11703527436900,962256000,2242821000,1969982000,1721005000,1618759000,3518000000,4615000000,5127000000,117431000,120484000,120872000,143456000,139470000,130266000,133000000,141000000,148000000,606199000,646556000,726230000,906448000,858668000,855118000,917000000,979000000,993000000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ACN,ACCENTURE PLC-A,IT Consulting & Other Services,Professional Business Support Services,Industrial Support Services,Industrial Goods and Services,Industrials,"Accenture PLC provides management and technology consulting services and solutions. The Company delivers a range of specialized capabilities and solutions to clients across all industries on a worldwide basis. Accenture operates a network of businesses provides consulting, technology, outsourcing, and alliances.",Computers,3445148928,4059907072,4779111936,5107838976,5906808832,6877169152,6871557120,7264786944,7678432768,22689890000,24449083000,29789880000,37078593000,43175843000,47263390000,51245305000,55932363000,65394897000,36765478000,40992534000,43215013000,44327039000,50533389000,61594305000,64111745000,64896464000,69672977000,25734985728,28499169280,29900324864,30350880768,34169260032,41892765696,43380137984,43734147072,47437574144,4973039000,6026691000,6626953000,8215152000,8975148000,9541129000,9524268000,9131027000,11474399000,-515919000,-515919000,-599009000,-599132000,-580132000,-717998000,-528172000,-516509000,-600039000,25070000,25013000,22658000,3485513000,3506634000,3325756000,3149034000,4120549000,8182866000,30.00%,30.48%,30.81%,31.53%,32.38%,31.99%,32.34%,32.61%,31.91%,59256932241533,74628433392551,86740383444540,109964130916188,120770642279338,127618709946279,136661895105079,136199356604376,175824118146385,41.75,42.04,38.58,32.52,32.34,33.04,28.75,26.92,25.82,129422400700000,159153422149400,210124691930100,255619169597500,285841252422000,337713504637600,402898224907500,452953723192000,529912533612000,1.10871MMMMM,1.60508MMMMM,1.78714MMMMM,2.22453MMMMM,3.02818MMMMM,2.70511MMMMM,3.09918MMMMM,3.32033MMMMM,2.65857MMMMM,61590039670126,5898779000,7621529000,6305074000,6513644000,9367181000,8809889000,9595847000,10225664000,15545000,19539000,22963000,33071000,59492000,47320000,47525000,58969000,228555000,4126860000,5061360000,6126853000,8415330000,8168174000,7889833000,9045032000,5004469000,11478729000,12097289000,13585559000,15450601000,17749756000,19666511000,21610871000,23381931000,20857781000,28900689000,9824279000,10151751000,11061896000,12662590000,15708867000,17523496000,18009038000,18976127000,20352097000
ADBE,ADOBE INC,Application Software,Software,Software and Computer Services,Technology,Technology,"Adobe Inc. develops, markets, and supports computer software products and technologies. The Company's products allow users to express and use information across all print and electronic media. Adobe offers a line of application software products, type products, and content for creating, distributing, and managing information. Adobe serves customers worldwide.",Software,1693954048,2590774016,2951000064,5260000256,4822000128,4755999744,5427999744,5560000000,7129999872,14535556000,18768682000,20762000000,24284000000,27241000000,27165000000,29779000000,30230000000,29496000000,7301505000,9030008000,11171000000,12868000000,15785000000,17606000000,19409000000,21505000000,23769000000,1010491008,1194999040,1672999936,1722000000,1864999936,2164999936,2353999872,2192999936,2401999872,2912853000,4029304000,4422000000,5727000000,7230000000,7838000000,7302000000,8056000000,10031000000,-178122000,-178122000,-395000000,-419000000,-348000000,-442000000,-360000000,-183000000,-179000000,1881421000,4124800000,4138000000,4708000000,4673000000,4633000000,4080000000,6056000000,6648000000,86.16%,86.77%,85.02%,86.62%,88.18%,87.70%,87.87%,89.04%,89.27%,36556195837517,53304166471125,57128026426731,77325643540000,98383415126038,109102020040000,105818554389961,124494019051533,161815348661538,21.33,29.07,29.67,44.21,34.37,32.97,35.51,36.31,55.43,114432418028500,134168923839700,148646745000000,187539696000000,213365341500000,215781909550000,256998606600000,223423200000000,193383474000000,1.19296MMMMM,1.75339MMMMM,2.11053MMMMM,3.23072MMMMM,4.22292MMMMM,2.42313MMMMM,4.32555MMMMM,3.604MMMMM,2.19977MMMMM,28981755578279,2840369000,5802000000,3268000000,4237000000,6098000000,6650000000,6741000000,8706000000,74402000,89242000,157000000,116000000,113000000,112000000,113000000,169000000,263000000,2306072000,1642775000,2650000000,4478000000,3844000000,4236000000,7141000000,7613000000,5431000000,7247813000,4857039000,6495000000,8146000000,8669000000,8996000000,11084000000,11232000000,10163000000,3527457000,4301126000,8191000000,5512000000,6932000000,8128000000,8251000000,10521000000,10200000000
ADI,ANALOG DEVICES,Semiconductors,Semiconductors,Technology Hardware and Equipment,Technology,Technology,"Analog Devices, Inc. designs, manufactures, and markets integrated circuits used in analog and digital signal processing. The Company's products are used in communications, computer, industrial, instrumentation, military, aerospace, automotive, and high-performance consumer electronics applications. Analog Devices sells its products worldwide.",Semiconductors,727259008,1506979968,1363010944,1220760960,1390422016,2748560896,3314578944,1635272960,2267342080,21141294000,20438366000,21392641000,21468603000,52322071000,50302350000,48794478000,48228277000,47992712000,5107503000,6224689000,5991065000,5603056000,7318286000,12013953000,12305539000,9427157000,11019707000,2045906944,1974292992,1977314944,1912578048,2793274112,4481479168,4428320768,4045814016,4246228992,1112592000,2442361000,2253100000,2008487000,2735069000,4475402000,4817634000,3852529000,4812202000,-204098000,-204098000,-275372000,-165692000,-343676000,-699308000,-1261463000,-730463000,-533552000,7851084000,6332674000,5491919000,5473517000,7118233000,6939532000,7373938000,7968387000,8948514000,59.94%,68.28%,67.00%,65.87%,61.83%,62.70%,64.01%,57.08%,61.47%,12128744320769,30782163802487,28138220583409,26826110439525,34171126886962,55218310549532,54223262374094,49304770776481,69990008592885,9.49,14.06,11.84,10.3,5.56,7.38,9.2,4.62,6.57,138237590160000,168283966259850,163981908805400,177341625045000,540690861473000,567710381125500,565183136263000,555064694101500,562964689240000,457410956591104,481927797534720,564138645196800,647334580838400,1.2971MMMMM,1.14879MMMMM,1.26635MMMMM,1.76586MMMMM,1.90857MMMMM,14086444720769,1899589000,1692201000,1710608000,1498244000,3278700000,3823112000,2032798000,2932496000,250840000,253589000,229075000,193305000,184825000,200408000,264641000,322227000,317716000,1047838000,816591000,648322000,1055860000,1977964000,1470572000,958061000,1991342000,2499406000,2351338000,2112126000,1985126000,2517688000,5378317000,4937992000,4384022000,5484654000,7108061000,1596332000,1051748000,1508632000,1364986000,2770312000,2442655000,3200971000,2988280000,3245801000
